,season,listing_id,preco,host_id
0,autumn,16500460.652833983,138.46,53706094.1193283
1,spring,16922072.411693014,135.82,54540156.36766595
2,summer,16467972.073063325,138.74,53838755.720782325
3,winter,17372410.922747586,131.88,55072971.36815181
